Name, Z,RA,Dec,  Rmin, Rmax,  K0,  K0err, K100, K100err, Alpha, AlphaErr, ChiSq, K100_PL, K100err_PL, Alpha_PL, AlphaErr_PL, ChiSq_PL, Npts,Pt Src Flag
MCXC_J2049.9-3216,0.325,312.4840,-32.2803,23.4,840.8,209.4,39.3,256.1,22.6,1.59,0.15,0.38,200.8,17.3,0.87,0.08,1.29,18,N 
ABELL_3739,0.165,316.0787,-41.3446,21,608.8,-107.8,69.6,200,13.2,0.63,0.2,0.24,188.6,11.6,0.88,0.06,0.54,17,N
IC_1365,0.049,318.4822,2.5652,11.8,350.3,198.8,18.3,240.3,9.8,1.72,0.22,0.51,268.8,9.1,0.38,0.12,1.11,31,N
ABELL_2345,0.1765,321.7897,-12.1748,51.7,1108.9,-661,508.3,236.6,22.8,0.29,0.49,0.76,195.3,16.5,0.81,0.06,1.45,21,N
MCXC_J2129.6+0005,0.235,322.4218,0.1039,9.3,851.2,12.8,2.1,146.2,4.1,1.03,0.03,0.83,159,3.2,0.88,0.02,1.71,35,N
MACS_J2140.2-2339,0.313,325.0633,-23.6611,11.4,489.4,13.1,1.1,105.8,2.7,1.36,0.03,1.15,115.9,2.4,1.02,0.02,6.2,21,N
ABELL_3809,0.062,326.7462,-43.8987,5.9,463.1,10.8,3.8,146.9,5.3,0.88,0.07,0.52,151.1,4.8,0.75,0.04,0.72,25,N
ABELL_2384,0.094,328.0888,-19.5474,4.3,202.7,29.3,3,175,5.8,1.52,0.07,0.88,176.1,5.9,0.93,0.04,3.44,24,N
ABELL_2390,0.228,328.4032,17.6954,9,388.8,10.1,2.6,167.5,3.5,0.96,0.04,1.1,173,3.1,0.84,0.02,1.7,22,N
ClG_2153.8+3746,0.292,328.9675,38.0068,10.8,726.6,38.5,8.9,220.7,6.8,0.81,0.05,0.84,237.8,5,0.67,0.02,1.24,34,N
ABELL_2409,0.148,330.2184,20.9687,12.8,703.3,82.4,9.1,157.9,6.7,1.29,0.08,0.91,184.2,6.8,0.68,0.06,2.2,29,N
ABELL_3827,0.098,330.4713,-59.9456,4.5,496.7,139,11.8,234,6.2,1.24,0.08,0.75,258.7,5.9,0.58,0.05,1.76,56,N
ABELL_2415,0.058,331.4105,-5.5925,2.8,238.4,6.2,0.8,131.5,3.8,1.07,0.03,0.62,128,3.9,0.87,0.02,2.76,22,N
MCXC_J2211.7-0349,0.27,332.9416,-3.8300,10.3,912.6,149.2,17.7,210.4,11.6,1.73,0.09,0.16,225.8,13.1,0.83,0.08,1.9,24,N
3C_444,0.153,333.6066,-17.0267,6.6,295.8,5.5,0.5,124.9,2.8,1.3,0.02,0.42,128.4,2.9,1.04,0.01,4.55,23,N
ABELL_2426,0.098,333.6347,-10.3705,9,608.6,-12.9,8,154.4,5.6,1,0.06,0.44,148.3,4.4,1.09,0.03,0.52,35,N
MACS_J2214-1359,0.483,333.7390,-14.0038,29.8,940,126.5,25.3,218.5,13.1,1.15,0.14,0.26,233.8,13.7,0.66,0.08,0.94,18,N
ABELL_3854,0.149,334.4410,-35.7244,19.3,694.4,106.6,18.4,201.1,10.3,1.23,0.12,0.52,221.3,10,0.71,0.07,1.31,20,N
MCXC_J2218.6-3853,0.138,334.6644,-38.9009,18.1,584.6,163.8,15.3,192.6,8.2,1.76,0.14,0.39,195.3,8.5,0.58,0.09,1.74,26,N
ABELL_2443,0.108,336.5259,17.3662,14.6,395,211.5,32.8,289.9,11.2,1.19,0.26,0.36,306.5,10.4,0.4,0.11,0.66,33,N
ABELL_2445,0.166,336.7336,25.8351,14.1,520.4,17.4,11,168.8,5.3,0.81,0.09,0.31,172.9,4.5,0.72,0.04,0.34,24,N
ABELL_3880,0.058,336.9766,-30.5770,2.8,379.8,2.2,1.5,149.4,4,0.93,0.04,1.22,150.3,4,0.88,0.02,1.25,44,N
MCXC_J2228.6+2036,0.412,337.1424,20.6206,27.2,1088.2,97.8,33.9,214.4,13.9,1.07,0.1,0.08,199.4,12.8,0.83,0.05,0.44,19,N 
MACS_J2229.8-2756,0.324,337.4385,-27.9267,11.7,617.6,8.1,1.5,100.6,3.9,1.28,0.04,0.62,108.6,3.4,1.05,0.03,2.13,16,N
CGCG_514-050,0.017,337.8359,39.3581,0.9,38.4,-63,59,97,10.5,0.18,0.65,0.68,154,8.8,0.66,0.03,1.49,23,N
ABELL_2457,0.059,338.9221,1.4867,11.3,408.4,3.9,14.4,195,9.5,0.73,0.13,0.62,196.8,6.5,0.71,0.05,0.59,22,N
Stephans_Quintet,0.0215,338.9996,33.9721,2.1,31.1,4,0.9,83.7,20.2,1.16,0.17,1.5,47.5,4.3,0.64,0.07,2.08,13,N
CIZA_J2242.8+5301,0.192,340.6647,52.9958,15.8,371.8,-223.1,298.7,448,23.7,0.31,0.52,0.41,425.7,15.3,0.51,0.08,0.46,23,N
MACS_J2245.0+2637,0.304,341.2692,26.6348,11.2,557.7,24.2,5.2,138.2,7.4,1.18,0.08,0.13,152.3,6.1,0.87,0.05,1.35,13,Y
ABELL_3911,0.097,341.6117,-52.7398,26.6,651.9,417.9,34.1,421.9,30.5,2.77,0.25,0.44,362.3,29.9,0.39,0.18,1.25,27,N
ABELL_2485,0.247,342.1291,-16.1079,19.2,585.9,80.5,28.4,197.5,14.6,1,0.19,0.29,214,12.6,0.65,0.09,0.67,13,N
ABELL_S1063,0.347,342.1835,-44.5304,12.2,1220,130.5,11.7,194.8,7.5,1.46,0.06,0.28,201,8.4,0.83,0.04,2.44,33,N
ABELL_3921,0.093,342.4861,-64.4302,8.5,657.7,87.2,17,235.4,6.8,0.88,0.09,0.6,247.8,6.3,0.61,0.04,0.83,70,N
ABELL_2507,0.196,344.2194,5.5046,32.2,956.8,219.6,28.4,241.6,22.3,2.07,0.14,0.44,263.6,23.4,0.53,0.16,1.29,24,N
ABELL_2537,0.295,347.0929,-2.1916,10.9,786.4,57.5,15,199,7.8,0.82,0.1,0.85,212.2,6.5,0.61,0.04,1.15,33,N
MCXC_J2311.5+0338,0.3,347.8885,3.6353,22.1,696.3,-32.1,4.2,135.3,5.9,1.1,0.04,2,84.5,3.9,1.56,0.02,8.31,25,N
ABELL_2550,0.123,347.8993,-21.7462,5.5,251.2,7.7,1.7,114.4,2.8,0.91,0.05,0.31,117.1,2.7,0.75,0.02,1.12,20,N
ABELL_2556,0.087,348.2556,-21.6344,4,321.8,12.6,1.4,137.5,3.3,1.09,0.04,1.1,142,3.2,0.83,0.02,2.8,34,N
ABELL_S1101,0.058,348.4946,-42.7253,2.8,424.1,11.5,0.5,90.1,0.9,1.13,0.02,1.37,91.2,1,0.83,0.01,6.4,77,N
UGC_12491,0.0174,349.6596,42.9581,1.7,54.1,4.4,0.5,140.7,9.1,1.16,0.05,2.32,101,4.4,0.84,0.02,4.13,29,N
NGC_7618,0.0173,349.9501,42.8532,0.9,46.8,1.4,0.3,93.7,7,0.91,0.06,1.09,73.4,3.3,0.72,0.02,1.79,20,N
ABELL_2589,0.0414,350.9894,16.7772,2,191.6,-8.1,7.4,177,2.3,0.43,0.08,0.91,176.8,2.2,0.47,0.03,0.93,48,N
ABELL_2597,0.085,351.3326,-12.1242,3.9,311.2,9.9,0.3,110.8,1,1.22,0.01,2.05,106.1,1,0.88,0.01,18.74,41,N
ABELL_2626,0.055,354.1267,21.1468,2.6,171.5,13,2.6,138,4,0.83,0.07,1.31,134,3.9,0.62,0.04,1.8,33,N
ABELL_2631,0.273,354.4082,0.2672,31,516.8,205.2,71.7,284.2,25.5,1.11,0.47,0.38,296.2,25.8,0.44,0.21,0.51,16,N
MCXC_J2344.2-0422,0.079,356.0769,-4.3816,11.1,534.5,130.3,14.6,186.8,7.5,1.34,0.12,0.51,203.7,7.8,0.55,0.07,1.35,37,N
ABELL_2657,0.04,356.2389,9.1921,5.9,326,55.2,9.7,161.2,4.8,0.92,0.12,0.77,171.4,3.7,0.55,0.05,1.03,66,N
HCG_097,0.022,356.8459,-2.3005,2.2,65.8,4.5,1.5,84.2,5.4,0.81,0.1,0.81,75.8,3.6,0.63,0.04,1.36,12,N
ABELL_4038,0.028,356.9374,-28.1406,1.4,274.4,24.5,3.7,136.3,2.1,0.85,0.06,1.06,140.9,1.9,0.63,0.02,1.35,98,N
ABELL_2667,0.23,357.9141,-26.0837,9.1,691.8,20,2.3,114.2,4.2,1.27,0.04,0.52,130.9,3.5,0.95,0.03,2.58,27,N
ABELL_2670,0.076,358.5571,-10.4192,3.6,295.3,29.4,4.6,127.5,3.3,0.83,0.1,1.56,134.5,2.8,0.48,0.06,1.83,42,N
